ID do Item,Nome do Item,Categoria,Quantidade em Estoque,Preço Unitário (R$),Data da Última Entrada,Fornecedor,Localização
101,Item 001,Papelaria,200,226.94,2026-02-23 11:43:51.368225,Fornecedor A,E6
102,Item 002,Informática,411,62.7,2026-01-26 11:43:51.368275,Fornecedor D,E7
103,Item 003,Papelaria,227,102.89,2026-02-08 11:43:51.368286,Fornecedor A,C3
104,Item 004,Papelaria,53,189.01,2025-12-16 11:43:51.368292,Fornecedor D,E6
105,Item 005,Papelaria,171,57.59,2026-02-14 11:43:51.368297,Fornecedor D,A5
106,Item 006,Informática,211,19.71,2025-12-23 11:43:51.368302,Fornecedor B,A4
107,Item 007,Papelaria,455,72.79,2026-01-10 11:43:51.368307,Fornecedor D,E5
108,Item 008,Papelaria,493,40.72,2026-01-28 11:43:51.368311,Fornecedor B,D1
109,Item 009,Papelaria,279,232.46,2026-02-25 11:43:51.368316,Fornecedor D,E7
110,Item 010,Informática,360,202.13,2026-03-25 11:43:51.368321,Fornecedor C,B6
111,Item 011,Papelaria,313,158.53,2025-12-06 11:43:51.368325,Fornecedor C,E4
112,Item 012,Papelaria,280,217.93,2025-11-30 11:43:51.368330,Fornecedor C,B4
113,Item 013,Papelaria,465,201.02,2025-12-08 11:43:51.368335,Fornecedor D,B3
114,Item 014,Papelaria,471,47.05,2026-03-11 11:43:51.368340,Fornecedor B,B1
115,Item 015,Informática,224,223.19,2026-04-15 11:43:51.368344,Fornecedor B,E4
116,Item 016,Papelaria,261,135.07,2025-12-27 11:43:51.368349,Fornecedor D,B1
117,Item 017,Informática,199,201.96,2026-04-27 11:43:51.368353,Fornecedor C,D4
118,Item 018,Informática,305,224.07,2026-03-31 11:43:51.368358,Fornecedor C,D2
119,Item 019,Informática,222,79.84,2025-12-21 11:43:51.368362,Fornecedor B,C1
120,Item 020,Papelaria,217,27.96,2026-01-10 11:43:51.368367,Fornecedor C,A3
121,Item 021,Informática,246,57.37,2026-01-02 11:43:51.368371,Fornecedor A,C5
122,Item 022,Papelaria,347,107.06,2026-01-03 11:43:51.368375,Fornecedor B,D3
123,Item 023,Informática,376,204.59,2025-12-24 11:43:51.368380,Fornecedor C,A1
124,Item 024,Informática,62,215.25,2026-01-10 11:43:51.368384,Fornecedor B,B2
125,Item 025,Informática,289,2.23,2026-04-15 11:43:51.368389,Fornecedor A,E3
126,Item 026,Informática,419,127.93,2025-11-23 11:43:51.368393,Fornecedor B,B3
127,Item 027,Informática,226,104.64,2026-01-23 11:43:51.368398,Fornecedor B,A8
128,Item 028,Informática,261,55.92,2026-01-19 11:43:51.368402,Fornecedor B,E2
129,Item 029,Informática,197,30.41,2026-04-26 11:43:51.368407,Fornecedor B,C9
130,Item 030,Informática,389,84.73,2025-12-11 11:43:51.368411,Fornecedor A,D5
131,Item 031,Papelaria,50,235.76,2026-04-10 11:43:51.368416,Fornecedor D,B8
132,Item 032,Papelaria,166,81.14,2026-01-29 11:43:51.368420,Fornecedor B,D9
133,Item 033,Informática,24,129.94,2026-03-28 11:43:51.368425,Fornecedor B,E9
134,Item 034,Informática,310,175.9,2026-05-10 11:43:51.368429,Fornecedor C,D5
135,Item 035,Informática,74,91.23,2026-04-21 11:43:51.368434,Fornecedor B,A8
136,Item 036,Papelaria,354,242.96,2026-04-21 11:43:51.368438,Fornecedor C,C1
137,Item 037,Informática,336,240.63,2026-04-27 11:43:51.368443,Fornecedor D,C4
138,Item 038,Papelaria,18,63.32,2026-04-18 11:43:51.368448,Fornecedor A,B1
139,Item 039,Papelaria,353,124.56,2026-02-10 11:43:51.368452,Fornecedor A,E1
