ID da Venda,Data da Venda,ID do Item,Quantidade Vendida,Preço Unitário da Venda,Canal de Venda,Total da Venda (R$)
1,2026-03-10 11:47:08.769636,123,3,64.62,Online,193.86
2,2026-03-14 11:47:08.769709,120,1,186.44,Loja Física,186.44
3,2026-03-29 11:47:08.769719,176,18,197.18,Online,3549.2400000000002
4,2026-04-26 11:47:08.769724,107,2,114.06,Online,228.12
5,2026-03-20 11:47:08.769729,188,12,74.51,Telemarketing,894.1200000000001
6,2026-05-01 11:47:08.769734,157,14,192.01,Online,2688.14
7,2026-03-27 11:47:08.769739,198,4,161.42,Online,645.68
8,2026-04-30 11:47:08.769743,115,18,113.29,Online,2039.22
9,2026-03-19 11:47:08.769747,106,4,136.15,Loja Física,544.6
10,2026-03-12 11:47:08.769752,102,4,167.3,Loja Física,669.2
11,2026-04-17 11:47:08.769757,196,19,59.5,Loja Física,1130.5
12,2026-02-19 11:47:08.769761,159,7,24.87,Loja Física,174.09
13,2026-03-14 11:47:08.769766,189,10,104.45,Telemarketing,1044.5
14,2026-04-12 11:47:08.769770,133,11,90.05,Loja Física,990.55
15,2026-03-28 11:47:08.769774,151,5,39.61,Telemarketing,198.05
16,2026-03-03 11:47:08.769779,167,9,81.68,Online,735.1200000000001
17,2026-03-13 11:47:08.769783,140,10,100.65,Loja Física,1006.5
18,2026-04-13 11:47:08.769788,155,14,98.77,Loja Física,1382.78
19,2026-03-03 11:47:08.769792,193,4,111.78,Loja Física,447.12
20,2026-03-12 11:47:08.769796,159,16,101.74,Online,1627.84
21,2026-05-13 11:47:08.769801,115,18,165.87,Loja Física,2985.66
22,2026-04-11 11:47:08.769805,128,7,11.64,Loja Física,81.48
23,2026-03-02 11:47:08.769810,114,12,191.13,Telemarketing,2293.56
24,2026-02-18 11:47:08.769814,158,9,24.03,Loja Física,216.27
25,2026-03-31 11:47:08.769818,101,12,8.2,Online,98.39999999999999
26,2026-04-15 11:47:08.769823,109,16,192.13,Loja Física,3074.08
27,2026-03-04 11:47:08.769827,191,3,172.36,Online,517.08
28,2026-03-18 11:47:08.769832,189,5,191.91,Online,959.55
29,2026-03-05 11:47:08.769836,182,2,198.98,Loja Física,397.96
30,2026-04-13 11:47:08.769840,141,3,117.44,Online,352.32
31,2026-03-30 11:47:08.769845,150,19,110.19,Loja Física,2093.61
32,2026-03-26 11:47:08.769866,187,10,52.81,Loja Física,528.1
33,2026-03-10 11:47:08.769875,117,2,24.66,Online,49.32
34,2026-04-19 11:47:08.769883,167,17,161.83,Telemarketing,2751.11
35,2026-03-05 11:47:08.769891,198,5,137.71,Online,688.5500000000001
36,2026-05-10 11:47:08.769898,154,17,41.16,Telemarketing,699.7199999999999
37,2026-03-17 11:47:08.769903,126,6,178.1,Telemarketing,1068.6
38,2026-02-22 11:47:08.769908,190,4,104.29,Telemarketing,417.16
39,2026-03-31 11:47:08.769912,158,11,39.83,Online,438.13
40,2026-03-25 11:47:08.769916,178,14,100.64,Online,1408.96
41,2026-04-15 11:47:08.769921,163,7,24.18,Telemarketing,169.26
42,2026-05-14 11:47:08.769925,154,15,120.56,Telemarketing,1808.4
43,2026-04-13 11:47:08.769929,110,17,163.83,Online,2785.11
44,2026-04-06 11:47:08.769934,125,3,48.91,Loja Física,146.73
45,2026-04-22 11:47:08.769938,103,3,112.08,Loja Física,336.24
46,2026-04-18 11:47:08.769942,149,8,35.3,Online,282.4
47,2026-04-21 11:47:08.769947,162,3,158.73,Telemarketing,476.18999999999994
48,2026-03-25 11:47:08.769951,178,4,60.23,Telemarketing,240.92
49,2026-02-21 11:47:08.769955,138,14,193.98,Online,2715.72
50,2026-04-26 11:47:08.769960,106,8,114.51,Telemarketing,916.08
51,2026-03-04 11:47:08.769964,101,2,79.88,Telemarketing,159.76
52,2026-04-20 11:47:08.769968,182,9,115.48,Loja Física,1039.32
53,2026-03-20 11:47:08.769973,200,1,3.8,Online,3.8
54,2026-05-10 11:47:08.769978,177,7,159.81,Loja Física,1118.67
55,2026-03-17 11:47:08.769982,176,3,122.74,Online,368.21999999999997
56,2026-03-27 11:47:08.769986,191,15,182.2,Online,2733.0
57,2026-04-13 11:47:08.769991,122,1,189.75,Telemarketing,189.75
58,2026-04-01 11:47:08.769995,167,16,162.38,Loja Física,2598.08
59,2026-03-26 11:47:08.770000,196,10,16.82,Online,168.2
60,2026-04-29 11:47:08.770004,133,8,196.08,Telemarketing,1568.64
61,2026-04-24 11:47:08.770008,144,6,148.51,Loja Física,891.06
62,2026-05-14 11:47:08.770013,111,1,145.53,Telemarketing,145.53
63,2026-03-08 11:47:08.770017,148,14,77.18,Telemarketing,1080.52
64,2026-04-23 11:47:08.770021,108,8,16.05,Online,128.4
65,2026-03-27 11:47:08.770025,128,14,95.78,Telemarketing,1340.92
66,2026-05-11 11:47:08.770030,174,2,12.16,Telemarketing,24.32
67,2026-04-03 11:47:08.770034,109,17,115.68,Online,1966.5600000000002
68,2026-02-19 11:47:08.770039,182,1,156.7,Telemarketing,156.7
69,2026-04-11 11:47:08.770043,141,11,96.65,Online,1063.15
70,2026-02-21 11:47:08.770047,106,9,101.91,Telemarketing,917.1899999999999
71,2026-05-03 11:47:08.770051,137,7,59.88,Loja Física,419.16
72,2026-02-23 11:47:08.770056,182,6,3.59,Telemarketing,21.54
73,2026-02-21 11:47:08.770060,198,15,95.27,Loja Física,1429.05
74,2026-04-07 11:47:08.770064,128,11,147.8,Online,1625.8000000000002
75,2026-02-23 11:47:08.770069,112,3,12.53,Loja Física,37.589999999999996
76,2026-02-21 11:47:08.770073,141,7,169.75,Online,1188.25
77,2026-04-20 11:47:08.770077,127,13,53.06,Online,689.78
78,2026-04-05 11:47:08.770083,149,11,89.56,Loja Física,985.1600000000001
79,2026-03-29 11:47:08.770088,166,13,98.21,Online,1276.73
80,2026-03-08 11:47:08.770092,134,6,39.09,Loja Física,234.54000000000002
81,2026-05-01 11:47:08.770096,129,17,8.54,Online,145.17999999999998
